"R0","N","yr","p_free_vx"
1.5,100,33.8657534246575,0.2165
1.5,100,34.0301369863014,0.218
1.5,100,34.1945205479452,0.2205
1.5,100,34.358904109589,0.222
1.5,100,34.5232876712329,0.225
1.5,100,34.6876712328767,0.2295
1.5,100,34.8520547945205,0.23
1.5,100,35.0164383561644,0.2315
1.5,100,35.1808219178082,0.2345
1.5,100,35.3452054794521,0.2375
1.5,100,35.5095890410959,0.2405
1.5,100,35.6739726027397,0.2445
1.5,100,35.8383561643836,0.246
1.5,100,36.0027397260274,0.2475
1.5,100,36.1671232876712,0.2495
1.5,100,36.3315068493151,0.251
1.5,100,36.4958904109589,0.2545
1.5,100,36.6602739726027,0.2575
1.5,100,36.8246575342466,0.26
1.5,100,36.9890410958904,0.264
1.5,100,37.1534246575342,0.265
1.5,100,37.3178082191781,0.268
1.5,100,37.4821917808219,0.271
1.5,100,37.6465753424658,0.274
1.5,100,37.8109589041096,0.278
1.5,100,37.9753424657534,0.284
1.5,100,38.1397260273973,0.2875
1.5,100,38.3041095890411,0.2885
1.5,100,38.4684931506849,0.29
1.5,100,38.6328767123288,0.2925
1.5,100,38.7972602739726,0.2945
1.5,100,38.9616438356164,0.2995
1.5,100,39.1260273972603,0.301
1.5,100,39.2904109589041,0.304
1.5,100,39.4547945205479,0.307
1.5,100,39.6191780821918,0.31
1.5,100,39.7835616438356,0.3135
1.5,100,39.9479452054794,0.3155
1.5,100,40.1123287671233,0.3185
1.5,100,40.2767123287671,0.321
1.5,100,40.441095890411,0.3235
1.5,100,40.6054794520548,0.328
1.5,100,40.7698630136986,0.3325
1.5,100,40.9342465753425,0.3345
1.5,100,41.0986301369863,0.337
1.5,100,41.2630136986301,0.34
1.5,100,41.427397260274,0.3435
1.5,100,41.5917808219178,0.347
1.5,100,41.7561643835616,0.3495
1.5,100,41.9205479452055,0.3515
1.5,100,42.0849315068493,0.354
1.5,100,42.2493150684932,0.358
1.5,100,42.413698630137,0.3615
1.5,100,42.5780821917808,0.3665
1.5,100,42.7424657534247,0.3695
1.5,100,42.9068493150685,0.3745
1.5,100,43.0712328767123,0.3765
1.5,100,43.2356164383562,0.3785
1.5,100,43.4,0.38
1.5,100,43.5643835616438,0.3845
1.5,100,43.7287671232877,0.388
1.5,100,43.8931506849315,0.389
1.5,100,44.0575342465753,0.3935
1.5,100,44.2219178082192,0.395
1.5,100,44.386301369863,0.3975
1.5,100,44.5506849315069,0.4005
1.5,100,44.7150684931507,0.4035
1.5,100,44.8794520547945,0.405
1.5,100,45.0438356164384,0.4065
1.5,100,45.2082191780822,0.4095
1.5,100,45.372602739726,0.411
1.5,100,45.5369863013699,0.4115
1.5,100,45.7013698630137,0.4145
1.5,100,45.8657534246575,0.4155
1.5,100,46.0301369863014,0.418
1.5,100,46.1945205479452,0.4195
1.5,100,46.358904109589,0.4215
1.5,100,46.5232876712329,0.4255
1.5,100,46.6876712328767,0.4265
1.5,100,46.8520547945205,0.4305
1.5,100,47.0164383561644,0.4325
1.5,100,47.1808219178082,0.435
1.5,100,47.3452054794521,0.438
1.5,100,47.5095890410959,0.442
1.5,100,47.6739726027397,0.4455
1.5,100,47.8383561643836,0.4485
1.5,100,48.0027397260274,0.451
1.5,100,48.1671232876712,0.4535
1.5,100,48.3315068493151,0.4545
1.5,100,48.4958904109589,0.4565
1.5,100,48.6602739726027,0.459
1.5,100,48.8246575342466,0.462
